emp_id,first_name,last_name,gender,birthdate,email,salary
10,zuabir 1,khan 1,m,1/3/2022,zubair 2367 @gmail.com,85000
11,zuabir 2,khan 2,m,1/4/2022,zubair 2368 @gmail.com,85001
12,zuabir 3,khan 3,m,1/5/2022,zubair 2369 @gmail.com,85002
13,zuabir 4,khan 4,m,1/6/2022,zubair 2370 @gmail.com,85003
14,zuabir 5,khan 5,m,1/7/2022,zubair 2371 @gmail.com,85004
15,zuabir 6,khan 6,m,1/8/2022,zubair 2372 @gmail.com,85005
16,zuabir 7,khan 7,m,1/9/2022,zubair 2373 @gmail.com,85006
17,zuabir 8,khan 8,m,1/10/2022,zubair 2374 @gmail.com,85007
18,zuabir 9,khan 9,m,1/11/2022,zubair 2375 @gmail.com,85008
19,zuabir 10,khan 10,m,1/12/2022,zubair 2376 @gmail.com,85009
20,zuabir 11,khan 11,m,1/13/2022,zubair 2377 @gmail.com,85010
21,zuabir 12,khan 12,m,1/14/2022,zubair 2378 @gmail.com,85011
22,zuabir 13,khan 13,m,1/15/2022,zubair 2379 @gmail.com,85012
23,zuabir 14,khan 14,m,1/16/2022,zubair 2380 @gmail.com,85013
24,zuabir 15,khan 15,m,1/17/2022,zubair 2381 @gmail.com,85014
25,zuabir 16,khan 16,m,1/18/2022,zubair 2382 @gmail.com,85015
26,zuabir 17,khan 17,m,1/19/2022,zubair 2383 @gmail.com,85016
27,zuabir 18,khan 18,m,1/20/2022,zubair 2384 @gmail.com,85017
28,zuabir 19,khan 19,m,1/21/2022,zubair 2385 @gmail.com,85018
29,zuabir 20,khan 20,m,1/22/2022,zubair 2386 @gmail.com,85019
30,zuabir 21,khan 21,m,1/23/2022,zubair 2387 @gmail.com,85020
31,zuabir 22,khan 22,m,1/24/2022,zubair 2388 @gmail.com,85021
32,zuabir 23,khan 23,m,1/25/2022,zubair 2389 @gmail.com,85022
33,zuabir 24,khan 24,m,1/26/2022,zubair 2390 @gmail.com,85023
34,zuabir 25,khan 25,m,1/27/2022,zubair 2391 @gmail.com,85024
35,zuabir 26,khan 26,m,1/28/2022,zubair 2392 @gmail.com,85025
36,zuabir 27,khan 27,m,1/29/2022,zubair 2393 @gmail.com,85026
